District,Attribute,Measure
Bangalore City,111 TANGKHUL - Female,2
Bangalore City,111 TANGKHUL - Rural,0
Bangalore City,111 TANGKHUL - Rural Male,0
Bangalore City,111 TANGKHUL - Rural Female,0
Bangalore City,111 TANGKHUL - Urban,4
Bangalore City,111 TANGKHUL - Urban Male,2
Bangalore City,111 TANGKHUL - Urban Female,2
Bangalore City,112 TANGSA - Total,2
Bangalore City,112 TANGSA - Male,0
Bangalore City,112 TANGSA - Female,2
Bangalore City,112 TANGSA - Rural,0
Bangalore City,112 TANGSA - Rural Male,0
Bangalore City,112 TANGSA - Rural Female,0
Bangalore City,112 TANGSA - Urban,2
Bangalore City,112 TANGSA - Urban Male,0
Bangalore City,112 TANGSA - Urban Female,2
Bangalore City,113 THADO - Total,6
Bangalore City,113 THADO - Male,3
Bangalore City,113 THADO - Female,3
Bangalore City,113 THADO - Rural,0
Bangalore City,113 THADO - Rural Male,0
Bangalore City,113 THADO - Rural Female,0
Bangalore City,113 THADO - Urban,6
Bangalore City,113 THADO - Urban Male,3
Bangalore City,113 THADO - Urban Female,3
Bangalore City,114 TIBETAN - Total,209
Bangalore City,114 TIBETAN - Male,106
Bangalore City,114 TIBETAN - Female,103
Bangalore City,114 TIBETAN - Rural,0
Bangalore City,114 TIBETAN - Rural Male,0
Bangalore City,114 TIBETAN - Rural Female,0
Bangalore City,114 TIBETAN - Urban,209
Bangalore City,114 TIBETAN - Urban Male,106
Bangalore City,114 TIBETAN - Urban Female,103
Bangalore City,115 TRIPURI - Total,5
Bangalore City,115 TRIPURI - Male,3
Bangalore City,115 TRIPURI - Female,2
Bangalore City,115 TRIPURI - Rural,0
Bangalore City,115 TRIPURI - Rural Male,0
Bangalore City,115 TRIPURI - Rural Female,0
Bangalore City,115 TRIPURI - Urban,5
Bangalore City,115 TRIPURI - Urban Male,3
Bangalore City,115 TRIPURI - Urban Female,2
Bangalore City,116 TULU - Total,23630
Bangalore City,116 TULU - Male,12187
Bangalore City,116 TULU - Female,11443
Bangalore City,116 TULU - Rural,0
Bangalore City,116 TULU - Rural Male,0
Bangalore City,116 TULU - Rural Female,0
Bangalore City,116 TULU - Urban,23630
Bangalore City,116 TULU - Urban Male,12187
Bangalore City,116 TULU - Urban Female,11443
Bangalore City,120 ZELIANG - Total,1
Bangalore City,120 ZELIANG - Male,1
Bangalore City,120 ZELIANG - Female,0
Bangalore City,120 ZELIANG - Rural,0
Bangalore City,120 ZELIANG - Rural Male,0
Bangalore City,120 ZELIANG - Rural Female,0
Bangalore City,120 ZELIANG - Urban,1
Bangalore City,120 ZELIANG - Urban Male,1
Bangalore City,120 ZELIANG - Urban Female,0
Bangalore City,123 OTHERS - Total,3068
Bangalore City,123 OTHERS - Male,1641
Bangalore City,123 OTHERS - Female,1427
Bangalore City,123 OTHERS - Rural,0
Bangalore City,123 OTHERS - Rural Male,0
Bangalore City,123 OTHERS - Rural Female,0
Bangalore City,123 OTHERS - Urban,3068
Bangalore City,123 OTHERS - Urban Male,1641
Bangalore City,123 OTHERS - Urban Female,1427
Mandya,1 ASSAMESE - Total,6
Mandya,1 ASSAMESE - Male,6
Mandya,1 ASSAMESE - Female,0
Mandya,1 ASSAMESE - Rural,6
Mandya,1 ASSAMESE - Rural Male,6
Mandya,1 ASSAMESE - Rural Female,0
Mandya,1 ASSAMESE - Urban,0
Mandya,1 ASSAMESE - Urban Male,0
Mandya,1 ASSAMESE - Urban Female,0
Mandya,2 BENGALI - Total,292
Mandya,2 BENGALI - Male,257
Mandya,2 BENGALI - Female,35
Mandya,2 BENGALI - Rural,263
Mandya,2 BENGALI - Rural Male,238
Mandya,2 BENGALI - Rural Female,25
Mandya,2 BENGALI - Urban,29
Mandya,2 BENGALI - Urban Male,19
Mandya,2 BENGALI - Urban Female,10
Mandya,5 GUJARATI - Total,759
Mandya,5 GUJARATI - Male,396
Mandya,5 GUJARATI - Female,363
Mandya,5 GUJARATI - Rural,145
Mandya,5 GUJARATI - Rural Male,80
Mandya,5 GUJARATI - Rural Female,65
Mandya,5 GUJARATI - Urban,614
Mandya,5 GUJARATI - Urban Male,316
Mandya,5 GUJARATI - Urban Female,298
Mandya,6 HINDI - Total,6151
Mandya,6 HINDI - Male,3469
Mandya,6 HINDI - Female,2682
Mandya,6 HINDI - Rural,2441
Mandya,6 HINDI - Rural Male,1432
Mandya,6 HINDI - Rural Female,1009
Mandya,6 HINDI - Urban,3710
Mandya,6 HINDI - Urban Male,2037
Mandya,6 HINDI - Urban Female,1673
Mandya,7 KANNADA - Total,1614014
Mandya,7 KANNADA - Male,811531
Mandya,7 KANNADA - Female,802483
Mandya,7 KANNADA - Rural,1408646
Mandya,7 KANNADA - Rural Male,706972
Mandya,7 KANNADA - Rural Female,701674
Mandya,7 KANNADA - Urban,205368
Mandya,7 KANNADA - Urban Male,104559
Mandya,7 KANNADA - Urban Female,100809
Mandya,8 KASHMIRI - Total,4
Mandya,8 KASHMIRI - Male,4
Mandya,8 KASHMIRI - Female,0
Mandya,8 KASHMIRI - Rural,4
Mandya,8 KASHMIRI - Rural Male,4
Mandya,8 KASHMIRI - Rural Female,0
Mandya,8 KASHMIRI - Urban,0
Mandya,8 KASHMIRI - Urban Male,0
Mandya,8 KASHMIRI - Urban Female,0
Mandya,9 KONKANI - Total,839
Mandya,9 KONKANI - Male,381
Mandya,9 KONKANI - Female,458
Mandya,9 KONKANI - Rural,169
Mandya,9 KONKANI - Rural Male,76
Mandya,9 KONKANI - Rural Female,93
Mandya,9 KONKANI - Urban,670
Mandya,9 KONKANI - Urban Male,305
Mandya,9 KONKANI - Urban Female,365
Mandya,10 MAITHILI - Total,2
Mandya,10 MAITHILI - Male,2
Mandya,10 MAITHILI - Female,0
Mandya,10 MAITHILI - Rural,0
Mandya,10 MAITHILI - Rural Male,0
Mandya,10 MAITHILI - Rural Female,0
Mandya,10 MAITHILI - Urban,2
Mandya,10 MAITHILI - Urban Male,2
Mandya,10 MAITHILI - Urban Female,0
Mandya,11 MALAYALAM - Total,2752
Mandya,11 MALAYALAM - Male,1375
Mandya,11 MALAYALAM - Female,1377
Mandya,11 MALAYALAM - Rural,1096
Mandya,11 MALAYALAM - Rural Male,505
Mandya,11 MALAYALAM - Rural Female,591
Mandya,11 MALAYALAM - Urban,1656
Mandya,11 MALAYALAM - Urban Male,870
Mandya,11 MALAYALAM - Urban Female,786
Mandya,12 MANIPURI - Total,3
Mandya,12 MANIPURI - Male,1
Mandya,12 MANIPURI - Female,2
Mandya,12 MANIPURI - Rural,1
Mandya,12 MANIPURI - Rural Male,1
Mandya,12 MANIPURI - Rural Female,0
Mandya,12 MANIPURI - Urban,2
Mandya,12 MANIPURI - Urban Male,0
Mandya,12 MANIPURI - Urban Female,2
Mandya,13 MARATHI - Total,8677
Mandya,13 MARATHI - Male,4349
Mandya,13 MARATHI - Female,4328
Mandya,13 MARATHI - Rural,4921
Mandya,13 MARATHI - Rural Male,2487
Mandya,13 MARATHI - Rural Female,2434
Mandya,13 MARATHI - Urban,3756
Mandya,13 MARATHI - Urban Male,1862
Mandya,13 MARATHI - Urban Female,1894
Mandya,14 NEPALI - Total,87
Mandya,14 NEPALI - Male,54
Mandya,14 NEPALI - Female,33
Mandya,14 NEPALI - Rural,30
Mandya,14 NEPALI - Rural Male,20
Mandya,14 NEPALI - Rural Female,10
Mandya,14 NEPALI - Urban,57
Mandya,14 NEPALI - Urban Male,34
Mandya,14 NEPALI - Urban Female,23
Mandya,15 ORIYA - Total,77
Mandya,15 ORIYA - Male,73
Mandya,15 ORIYA - Female,4
Mandya,15 ORIYA - Rural,75
Mandya,15 ORIYA - Rural Male,71
Mandya,15 ORIYA - Rural Female,4
Mandya,15 ORIYA - Urban,2
Mandya,15 ORIYA - Urban Male,2
Mandya,15 ORIYA - Urban Female,0
Mandya,16 PUNJABI - Total,54
Mandya,16 PUNJABI - Male,34
Mandya,16 PUNJABI - Female,20
Mandya,16 PUNJABI - Rural,14
Mandya,16 PUNJABI - Rural Male,10
Mandya,16 PUNJABI - Rural Female,4
Mandya,16 PUNJABI - Urban,40
Mandya,16 PUNJABI - Urban Male,24
Mandya,16 PUNJABI - Urban Female,16
Mandya,17 SANSKRIT - Total,9
Mandya,17 SANSKRIT - Male,6
Mandya,17 SANSKRIT - Female,3
Mandya,17 SANSKRIT - Rural,3
Mandya,17 SANSKRIT - Rural Male,3
Mandya,17 SANSKRIT - Rural Female,0
Mandya,17 SANSKRIT - Urban,6
Mandya,17 SANSKRIT - Urban Male,3
Mandya,17 SANSKRIT - Urban Female,3
Mandya,19 SINDHI - Total,17
Mandya,19 SINDHI - Male,9
Mandya,19 SINDHI - Female,8
Mandya,19 SINDHI - Rural,2
Mandya,19 SINDHI - Rural Male,1
Mandya,19 SINDHI - Rural Female,1
Mandya,19 SINDHI - Urban,15
Mandya,19 SINDHI - Urban Male,8
Mandya,19 SINDHI - Urban Female,7
Mandya,20 TAMIL - Total,26992
Mandya,20 TAMIL - Male,13752
Mandya,20 TAMIL - Female,13240
Mandya,20 TAMIL - Rural,15787
Mandya,20 TAMIL - Rural Male,8047
Mandya,20 TAMIL - Rural Female,7740
Mandya,20 TAMIL - Urban,11205
Mandya,20 TAMIL - Urban Male,5705
Mandya,20 TAMIL - Urban Female,5500
Mandya,21 TELUGU - Total,28958
Mandya,21 TELUGU - Male,14592
Mandya,21 TELUGU - Female,14366
Mandya,21 TELUGU - Rural,18439
Mandya,21 TELUGU - Rural Male,9402
Mandya,21 TELUGU - Rural Female,9037
Mandya,21 TELUGU - Urban,10519
Mandya,21 TELUGU - Urban Male,5190
Mandya,21 TELUGU - Urban Female,5329
Mandya,22 URDU - Total,69760
Mandya,22 URDU - Male,35401
Mandya,22 URDU - Female,34359
Mandya,22 URDU - Rural,25807
Mandya,22 URDU - Rural Male,13163
Mandya,22 URDU - Rural Female,12644
Mandya,22 URDU - Urban,43953
Mandya,22 URDU - Urban Male,22238
Mandya,22 URDU - Urban Female,21715
Mandya,26 ANGAMI - Total,1
Mandya,26 ANGAMI - Male,1
Mandya,26 ANGAMI - Female,0
Mandya,26 ANGAMI - Rural,0
Mandya,26 ANGAMI - Rural Male,0
Mandya,26 ANGAMI - Rural Female,0
Mandya,26 ANGAMI - Urban,1
Mandya,26 ANGAMI - Urban Male,1
Mandya,26 ANGAMI - Urban Female,0
Mandya,28 ARABIC/ARBI - Total,32
Mandya,28 ARABIC/ARBI - Male,29
Mandya,28 ARABIC/ARBI - Female,3
Mandya,28 ARABIC/ARBI - Rural,27
Mandya,28 ARABIC/ARBI - Rural Male,26
Mandya,28 ARABIC/ARBI - Rural Female,1
Mandya,28 ARABIC/ARBI - Urban,5
Mandya,28 ARABIC/ARBI - Urban Male,3
Mandya,28 ARABIC/ARBI - Urban Female,2
Mandya,30 BHILI/BHILODI - Total,18
Mandya,30 BHILI/BHILODI - Male,9
Mandya,30 BHILI/BHILODI - Female,9
Mandya,30 BHILI/BHILODI - Rural,6
Mandya,30 BHILI/BHILODI - Rural Male,3
Mandya,30 BHILI/BHILODI - Rural Female,3
Mandya,30 BHILI/BHILODI - Urban,12
Mandya,30 BHILI/BHILODI - Urban Male,6
Mandya,30 BHILI/BHILODI - Urban Female,6
Mandya,37 COORGI/KODAGU - Total,3085
Mandya,37 COORGI/KODAGU - Male,1722
Mandya,37 COORGI/KODAGU - Female,1363
Mandya,37 COORGI/KODAGU - Rural,2806
Mandya,37 COORGI/KODAGU - Rural Male,1564
Mandya,37 COORGI/KODAGU - Rural Female,1242
Mandya,37 COORGI/KODAGU - Urban,279
Mandya,37 COORGI/KODAGU - Urban Male,158
Mandya,37 COORGI/KODAGU - Urban Female,121
Mandya,40 ENGLISH - Total,55
Mandya,40 ENGLISH - Male,38
Mandya,40 ENGLISH - Female,17
Mandya,40 ENGLISH - Rural,38
Mandya,40 ENGLISH - Rural Male,28
Mandya,40 ENGLISH - Rural Female,10
Mandya,40 ENGLISH - Urban,17
Mandya,40 ENGLISH - Urban Male,10
Mandya,40 ENGLISH - Urban Female,7
Mandya,116 TULU - Total,933
Mandya,116 TULU - Male,475
Mandya,116 TULU - Female,458
Mandya,116 TULU - Rural,203
Mandya,116 TULU - Rural Male,104
Mandya,116 TULU - Rural Female,99
Mandya,116 TULU - Urban,730
Mandya,116 TULU - Urban Male,371
Mandya,116 TULU - Urban Female,359
Mandya,123 OTHERS - Total,128
Mandya,123 OTHERS - Male,68
Mandya,123 OTHERS - Female,60
Mandya,123 OTHERS - Rural,61
Mandya,123 OTHERS - Rural Male,33
Mandya,123 OTHERS - Rural Female,28
Mandya,123 OTHERS - Urban,67
Mandya,123 OTHERS - Urban Male,35
Mandya,123 OTHERS - Urban Female,32
Mandya,2 BENGALI - Total,2
Mandya,2 BENGALI - Male,1
Mandya,2 BENGALI - Female,1
Mandya,2 BENGALI - Rural,0
Mandya,2 BENGALI - Rural Male,0
Mandya,2 BENGALI - Rural Female,0
Mandya,2 BENGALI - Urban,2
Mandya,2 BENGALI - Urban Male,1
Mandya,2 BENGALI - Urban Female,1
Mandya,5 GUJARATI - Total,387
Mandya,5 GUJARATI - Male,196
Mandya,5 GUJARATI - Female,191
Mandya,5 GUJARATI - Rural,0
Mandya,5 GUJARATI - Rural Male,0
Mandya,5 GUJARATI - Rural Female,0
Mandya,5 GUJARATI - Urban,387
Mandya,5 GUJARATI - Urban Male,196
Mandya,5 GUJARATI - Urban Female,191
Mandya,6 HINDI - Total,98
Mandya,6 HINDI - Male,57
Mandya,6 HINDI - Female,41
Mandya,6 HINDI - Rural,0
Mandya,6 HINDI - Rural Male,0
Mandya,6 HINDI - Rural Female,0
Mandya,6 HINDI - Urban,98
Mandya,6 HINDI - Urban Male,57
Mandya,6 HINDI - Urban Female,41
Mandya,7 KANNADA - Total,5490
Mandya,7 KANNADA - Male,2776
Mandya,7 KANNADA - Female,2714
Mandya,7 KANNADA - Rural,0
Mandya,7 KANNADA - Rural Male,0
Mandya,7 KANNADA - Rural Female,0
Mandya,7 KANNADA - Urban,5490
Mandya,7 KANNADA - Urban Male,2776
Mandya,7 KANNADA - Urban Female,2714
Mandya,9 KONKANI - Total,8
Mandya,9 KONKANI - Male,5
Mandya,9 KONKANI - Female,3
Mandya,9 KONKANI - Rural,0
Mandya,9 KONKANI - Rural Male,0
Mandya,9 KONKANI - Rural Female,0
Mandya,9 KONKANI - Urban,8
Mandya,9 KONKANI - Urban Male,5
Mandya,9 KONKANI - Urban Female,3
Mandya,11 MALAYALAM - Total,64
Mandya,11 MALAYALAM - Male,34
Mandya,11 MALAYALAM - Female,30
Mandya,11 MALAYALAM - Rural,0
Mandya,11 MALAYALAM - Rural Male,0
Mandya,11 MALAYALAM - Rural Female,0
Mandya,11 MALAYALAM - Urban,64
Mandya,11 MALAYALAM - Urban Male,34
Mandya,11 MALAYALAM - Urban Female,30
Mandya,13 MARATHI - Total,112
Mandya,13 MARATHI - Male,63
Mandya,13 MARATHI - Female,49
Mandya,13 MARATHI - Rural,0
Mandya,13 MARATHI - Rural Male,0
Mandya,13 MARATHI - Rural Female,0
Mandya,13 MARATHI - Urban,112
Mandya,13 MARATHI - Urban Male,63
Mandya,13 MARATHI - Urban Female,49
Mandya,14 NEPALI - Total,21
Mandya,14 NEPALI - Male,11
Mandya,14 NEPALI - Female,10
Mandya,14 NEPALI - Rural,0
Mandya,14 NEPALI - Rural Male,0
Mandya,14 NEPALI - Rural Female,0
Mandya,14 NEPALI - Urban,21
Mandya,14 NEPALI - Urban Male,11
Mandya,14 NEPALI - Urban Female,10
Mandya,16 PUNJABI - Total,9
Mandya,16 PUNJABI - Male,6
Mandya,16 PUNJABI - Female,3
Mandya,16 PUNJABI - Rural,0
Mandya,16 PUNJABI - Rural Male,0
Mandya,16 PUNJABI - Rural Female,0
Mandya,16 PUNJABI - Urban,9
Mandya,16 PUNJABI - Urban Male,6
Mandya,16 PUNJABI - Urban Female,3
Mandya,20 TAMIL - Total,445
Mandya,20 TAMIL - Male,237
Mandya,20 TAMIL - Female,208
Mandya,20 TAMIL - Rural,0
Mandya,20 TAMIL - Rural Male,0
Mandya,20 TAMIL - Rural Female,0
Mandya,20 TAMIL - Urban,445
Mandya,20 TAMIL - Urban Male,237
Mandya,20 TAMIL - Urban Female,208
Mandya,21 TELUGU - Total,1274
Mandya,21 TELUGU - Male,622
Mandya,21 TELUGU - Female,652
Mandya,21 TELUGU - Rural,0
Mandya,21 TELUGU - Rural Male,0
Mandya,21 TELUGU - Rural Female,0
Mandya,21 TELUGU - Urban,1274
Mandya,21 TELUGU - Urban Male,622
Mandya,21 TELUGU - Urban Female,652
Mandya,22 URDU - Total,575
Mandya,22 URDU - Male,297
Mandya,22 URDU - Female,278
Mandya,22 URDU - Rural,0
Mandya,22 URDU - Rural Male,0
Mandya,22 URDU - Rural Female,0
Mandya,22 URDU - Urban,575
Mandya,22 URDU - Urban Male,297
Mandya,22 URDU - Urban Female,278
Mandya,37 COORGI/KODAGU - Total,6
Mandya,37 COORGI/KODAGU - Male,2
Mandya,37 COORGI/KODAGU - Female,4
Mandya,37 COORGI/KODAGU - Rural,0
Mandya,37 COORGI/KODAGU - Rural Male,0
Mandya,37 COORGI/KODAGU - Rural Female,0
Mandya,37 COORGI/KODAGU - Urban,6
Mandya,37 COORGI/KODAGU - Urban Male,2
Mandya,37 COORGI/KODAGU - Urban Female,4
Mandya,116 TULU - Total,2
Mandya,116 TULU - Male,0
Mandya,116 TULU - Female,2
Mandya,116 TULU - Rural,0
Mandya,116 TULU - Rural Male,0
Mandya,116 TULU - Rural Female,0
Mandya,116 TULU - Urban,2
Mandya,116 TULU - Urban Male,0
Mandya,116 TULU - Urban Female,2
Hassan,1 ASSAMESE - Total,24
Hassan,1 ASSAMESE - Male,19
Hassan,1 ASSAMESE - Female,5
Hassan,1 ASSAMESE - Rural,12
Hassan,1 ASSAMESE - Rural Male,12
Hassan,1 ASSAMESE - Rural Female,0
Hassan,1 ASSAMESE - Urban,12
Hassan,1 ASSAMESE - Urban Male,7
Hassan,1 ASSAMESE - Urban Female,5
Hassan,2 BENGALI - Total,101
Hassan,2 BENGALI - Male,77
Hassan,2 BENGALI - Female,24
Hassan,2 BENGALI - Rural,50
Hassan,2 BENGALI - Rural Male,37
Hassan,2 BENGALI - Rural Female,13
Hassan,2 BENGALI - Urban,51
Hassan,2 BENGALI - Urban Male,40
Hassan,2 BENGALI - Urban Female,11
Hassan,4 DOGRI - Total,2
Hassan,4 DOGRI - Male,0
Hassan,4 DOGRI - Female,2
Hassan,4 DOGRI - Rural,2
Hassan,4 DOGRI - Rural Male,0
Hassan,4 DOGRI - Rural Female,2
Hassan,4 DOGRI - Urban,0
Hassan,4 DOGRI - Urban Male,0
Hassan,4 DOGRI - Urban Female,0
Hassan,5 GUJARATI - Total,857
Hassan,5 GUJARATI - Male,448
Hassan,5 GUJARATI - Female,409
Hassan,5 GUJARATI - Rural,685
Hassan,5 GUJARATI - Rural Male,364
Hassan,5 GUJARATI - Rural Female,321
Hassan,5 GUJARATI - Urban,172
Hassan,5 GUJARATI - Urban Male,84
Hassan,5 GUJARATI - Urban Female,88
Hassan,6 HINDI - Total,16045
Hassan,6 HINDI - Male,8603
Hassan,6 HINDI - Female,7442
Hassan,6 HINDI - Rural,11881
Hassan,6 HINDI - Rural Male,6254
Hassan,6 HINDI - Rural Female,5627
Hassan,6 HINDI - Urban,4164
Hassan,6 HINDI - Urban Male,2349
Hassan,6 HINDI - Urban Female,1815
Hassan,7 KANNADA - Total,1500438
Hassan,7 KANNADA - Male,747065
Hassan,7 KANNADA - Female,753373
Hassan,7 KANNADA - Rural,1295712
Hassan,7 KANNADA - Rural Male,642870
Hassan,7 KANNADA - Rural Female,652842
Hassan,7 KANNADA - Urban,204726
Hassan,7 KANNADA - Urban Male,104195
Hassan,7 KANNADA - Urban Female,100531
Hassan,8 KASHMIRI - Total,4
Hassan,8 KASHMIRI - Male,2
Hassan,8 KASHMIRI - Female,2
Hassan,8 KASHMIRI - Rural,0
Hassan,8 KASHMIRI - Rural Male,0
Hassan,8 KASHMIRI - Rural Female,0
Hassan,8 KASHMIRI - Urban,4
Hassan,8 KASHMIRI - Urban Male,2
Hassan,8 KASHMIRI - Urban Female,2
Hassan,9 KONKANI - Total,4498
Hassan,9 KONKANI - Male,2260
Hassan,9 KONKANI - Female,2238
Hassan,9 KONKANI - Rural,2828
Hassan,9 KONKANI - Rural Male,1442
Hassan,9 KONKANI - Rural Female,1386
Hassan,9 KONKANI - Urban,1670
Hassan,9 KONKANI - Urban Male,818
Hassan,9 KONKANI - Urban Female,852
Hassan,10 MAITHILI - Total,3
Hassan,10 MAITHILI - Male,2
Hassan,10 MAITHILI - Female,1
Hassan,10 MAITHILI - Rural,0
Hassan,10 MAITHILI - Rural Male,0
Hassan,10 MAITHILI - Rural Female,0
Hassan,10 MAITHILI - Urban,3
Hassan,10 MAITHILI - Urban Male,2
Hassan,10 MAITHILI - Urban Female,1
Hassan,11 MALAYALAM - Total,12833
Hassan,11 MALAYALAM - Male,6447
Hassan,11 MALAYALAM - Female,6386
Hassan,11 MALAYALAM - Rural,9197
Hassan,11 MALAYALAM - Rural Male,4616
Hassan,11 MALAYALAM - Rural Female,4581
Hassan,11 MALAYALAM - Urban,3636
Hassan,11 MALAYALAM - Urban Male,1831
Hassan,11 MALAYALAM - Urban Female,1805
Hassan,12 MANIPURI - Total,3
Hassan,12 MANIPURI - Male,3
Hassan,12 MANIPURI - Female,0
Hassan,12 MANIPURI - Rural,0
Hassan,12 MANIPURI - Rural Male,0
Hassan,12 MANIPURI - Rural Female,0
Hassan,12 MANIPURI - Urban,3
Hassan,12 MANIPURI - Urban Male,3
Hassan,12 MANIPURI - Urban Female,0
Hassan,13 MARATHI - Total,8623
Hassan,13 MARATHI - Male,4393
Hassan,13 MARATHI - Female,4230
Hassan,13 MARATHI - Rural,4482
Hassan,13 MARATHI - Rural Male,2276
Hassan,13 MARATHI - Rural Female,2206
Hassan,13 MARATHI - Urban,4141
Hassan,13 MARATHI - Urban Male,2117
Hassan,13 MARATHI - Urban Female,2024
Hassan,14 NEPALI - Total,103
Hassan,14 NEPALI - Male,65
Hassan,14 NEPALI - Female,38
Hassan,14 NEPALI - Rural,64
Hassan,14 NEPALI - Rural Male,43
Hassan,14 NEPALI - Rural Female,21
Hassan,14 NEPALI - Urban,39
Hassan,14 NEPALI - Urban Male,22
Hassan,14 NEPALI - Urban Female,17
Hassan,15 ORIYA - Total,79
Hassan,15 ORIYA - Male,60
Hassan,15 ORIYA - Female,19
Hassan,15 ORIYA - Rural,52
Hassan,15 ORIYA - Rural Male,40
Hassan,15 ORIYA - Rural Female,12
Hassan,15 ORIYA - Urban,27
Hassan,15 ORIYA - Urban Male,20
Hassan,15 ORIYA - Urban Female,7
Hassan,16 PUNJABI - Total,84
Hassan,16 PUNJABI - Male,68
Hassan,16 PUNJABI - Female,16
Hassan,16 PUNJABI - Rural,44
Hassan,16 PUNJABI - Rural Male,43
Hassan,16 PUNJABI - Rural Female,1
Hassan,16 PUNJABI - Urban,40
Hassan,16 PUNJABI - Urban Male,25
Hassan,16 PUNJABI - Urban Female,15
Hassan,17 SANSKRIT - Total,48
Hassan,17 SANSKRIT - Male,27
Hassan,17 SANSKRIT - Female,21
Hassan,17 SANSKRIT - Rural,22
Hassan,17 SANSKRIT - Rural Male,13
Hassan,17 SANSKRIT - Rural Female,9
Hassan,17 SANSKRIT - Urban,26
Hassan,17 SANSKRIT - Urban Male,14
Hassan,17 SANSKRIT - Urban Female,12
Hassan,20 TAMIL - Total,19558
Hassan,20 TAMIL - Male,9935
Hassan,20 TAMIL - Female,9623
Hassan,20 TAMIL - Rural,10260
Hassan,20 TAMIL - Rural Male,5169
Hassan,20 TAMIL - Rural Female,5091
Hassan,20 TAMIL - Urban,9298
Hassan,20 TAMIL - Urban Male,4766
Hassan,20 TAMIL - Urban Female,4532
Hassan,21 TELUGU - Total,36300
Hassan,21 TELUGU - Male,18146
Hassan,21 TELUGU - Female,18154
Hassan,21 TELUGU - Rural,25262
Hassan,21 TELUGU - Rural Male,12570
Hassan,21 TELUGU - Rural Female,12692
Hassan,21 TELUGU - Urban,11038
Hassan,21 TELUGU - Urban Male,5576
Hassan,21 TELUGU - Urban Female,5462
Hassan,22 URDU - Total,95518
Hassan,22 URDU - Male,48478
Hassan,22 URDU - Female,47040
Hassan,22 URDU - Rural,33086
Hassan,22 URDU - Rural Male,16857
Hassan,22 URDU - Rural Female,16229
Hassan,22 URDU - Urban,62432
Hassan,22 URDU - Urban Male,31621
Hassan,22 URDU - Urban Female,30811
Hassan,23 ADI - Total,2
Hassan,23 ADI - Male,0
Hassan,23 ADI - Female,2
Hassan,23 ADI - Rural,2
Hassan,23 ADI - Rural Male,0
Hassan,23 ADI - Rural Female,2
Hassan,23 ADI - Urban,0
Hassan,23 ADI - Urban Male,0
Hassan,23 ADI - Urban Female,0
Hassan,28 ARABIC/ARBI - Total,72
Hassan,28 ARABIC/ARBI - Male,35
Hassan,28 ARABIC/ARBI - Female,37
Hassan,28 ARABIC/ARBI - Rural,54
Hassan,28 ARABIC/ARBI - Rural Male,27
Hassan,28 ARABIC/ARBI - Rural Female,27
Hassan,28 ARABIC/ARBI - Urban,18
Hassan,28 ARABIC/ARBI - Urban Male,8
Hassan,28 ARABIC/ARBI - Urban Female,10
Hassan,30 BHILI/BHILODI - Total,5
Hassan,30 BHILI/BHILODI - Male,3
Hassan,30 BHILI/BHILODI - Female,2
Hassan,30 BHILI/BHILODI - Rural,5
Hassan,30 BHILI/BHILODI - Rural Male,3
Hassan,30 BHILI/BHILODI - Rural Female,2
